data;vendas;tipo;forecast_horizon;vendas_acumuladas
2025-11-23;8121.185063187535;previsao;60;4062397.6708596353
2025-11-23;8121.185063187535;previsao;90;4062397.6708596353
2025-11-24;43843.858052084;previsao;60;4106241.5289117196
2025-11-24;43843.858052084;previsao;90;4106241.5289117196
2025-11-25;52335.87911597923;previsao;60;4158577.4080276988
2025-11-25;52335.87911597923;previsao;90;4158577.4080276988
2025-11-26;42031.29190828952;previsao;60;4200608.6999359885
2025-11-26;42031.29190828952;previsao;90;4200608.6999359885
2025-11-27;46310.48101924884;previsao;60;4246919.180955238
2025-11-27;46310.48101924884;previsao;90;4246919.180955238
2025-11-28;41280.82930239182;previsao;90;4288200.01025763
2025-11-28;41280.82930239182;previsao;60;4288200.01025763
2025-11-29;36122.61956480119;previsao;90;4324322.629822431
2025-11-29;36122.61956480119;previsao;60;4324322.629822431
2025-11-30;6932.95491307256;previsao;60;4331255.584735503
2025-11-30;6932.95491307256;previsao;90;4331255.584735503
2025-12-01;40530.86950898357;previsao;60;4371786.454244487
2025-12-01;40530.86950898357;previsao;90;4371786.454244487
2025-12-02;36802.71939232904;previsao;60;4408589.173636816
2025-12-02;36802.71939232904;previsao;90;4408589.173636816
2025-12-03;61019.1380725312;previsao;90;4469608.311709347
2025-12-04;56785.114960451945;previsao;90;4526393.426669799
2025-12-05;52894.57294186751;previsao;90;4579287.999611666
2025-12-06;45632.45893236381;previsao;90;4624920.45854403
2025-12-07;10692.975327715434;previsao;90;4635613.433871745
2025-12-08;79588.19509302841;previsao;90;4715201.628964773
2025-12-09;54099.30362250388;previsao;90;4769300.932587277
2025-12-10;74803.12429012942;previsao;90;4844104.056877406
2025-12-11;79085.07688241829;previsao;90;4923189.133759825
2025-12-12;70168.43103692886;previsao;90;4993357.564796753
2025-12-13;41870.8111283904;previsao;90;5035228.375925143
2025-12-14;12333.356846278488;previsao;90;5047561.732771422
2025-12-15;69355.37680061591;previsao;90;5116917.109572038
2025-12-16;67872.89435874639;previsao;90;5184790.003930785
2025-12-17;72959.81496163332;previsao;90;5257749.818892418
2025-12-18;43737.50056276916;previsao;90;5301487.319455188
2025-12-19;55962.88623943116;previsao;90;5357450.205694619
2025-12-20;47424.4759040272;previsao;90;5404874.681598646
2025-12-21;12291.77742635379;previsao;90;5417166.459024999
2025-12-22;68143.84984073305;previsao;90;5485310.3088657325
2025-12-23;51371.00347841057;previsao;90;5536681.312344143
2025-12-24;53452.69491874711;previsao;90;5590134.00726289
2025-12-25;43020.98176013879;previsao;90;5633154.989023029
2025-12-26;45904.73485962768;previsao;90;5679059.723882657
2025-12-27;24856.855194772917;previsao;90;5703916.579077429
2025-12-28;8417.423820512675;previsao;90;5712334.0028979415
2025-12-29;29494.85396531535;previsao;90;5741828.856863257
2025-12-30;28906.92387496205;previsao;90;5770735.780738219
2025-12-31;30249.230313316988;previsao;90;5800985.011051536
2026-01-01;31853.40142974713;previsao;90;5832838.412481283
