data;volume_historico
2024-02-12;
2024-02-13;
2024-02-14;20.0
2024-02-15;39.0
2024-02-16;58.0
2024-02-17;34.0
2024-02-18;7.0
2024-02-19;53.0
2024-02-20;49.0
2024-02-21;62.0
2024-02-22;51.0
2024-02-23;111.0
2024-02-24;73.0
2024-02-25;11.0
2024-02-26;65.0
2024-02-27;47.0
2024-02-28;65.0
2024-02-29;40.0
2024-03-01;80.0
2024-03-02;74.0
2024-03-03;16.0
2024-03-04;75.0
2024-03-05;67.0
2024-03-06;65.0
2024-03-07;74.0
2024-03-08;59.0
2024-03-09;83.0
2024-03-10;7.0
2024-03-11;108.0
2024-03-12;84.0
2024-03-13;64.0
2024-03-14;49.0
2024-03-15;85.0
2024-03-16;81.0
2024-03-17;15.0
2024-03-18;79.0
2024-03-19;102.0
2024-03-20;90.0
2024-03-21;55.0
2024-03-22;81.0
2024-03-23;32.0
2024-03-24;6.0
2024-03-25;72.0
2024-03-26;63.0
2024-03-27;68.0
2024-03-28;84.0
2024-03-29;
2024-03-30;76.0
2024-03-31;11.0
2024-04-01;61.0
2024-04-02;39.0
2024-04-03;70.0
2024-04-04;44.0
2024-04-05;125.0
2024-04-06;70.0
2024-04-07;16.0
2024-04-08;60.0
2024-04-09;97.0
2024-04-10;59.0
2024-04-11;68.0
2024-04-12;125.0
2024-04-13;84.0
2024-04-14;18.0
2024-04-15;75.0
2024-04-16;76.0
2024-04-17;57.0
2024-04-18;69.0
2024-04-19;103.0
2024-04-20;80.0
2024-04-21;9.0
2024-04-22;82.0
2024-04-23;15.0
2024-04-24;93.0
2024-04-25;106.0
2024-04-26;102.0
2024-04-27;63.0
2024-04-28;25.0
2024-04-29;65.0
2024-04-30;85.0
2024-05-01;
2024-05-02;77.0
2024-05-03;102.0
2024-05-04;140.0
2024-05-05;16.0
2024-05-06;113.0
2024-05-07;109.0
2024-05-08;120.0
2024-05-09;150.0
2024-05-10;151.29999999999995
2024-05-11;151.29999999999995
2024-05-12;55.0
2024-05-13;120.0
2024-05-14;94.0
2024-05-15;101.0
2024-05-16;91.0
2024-05-17;106.0
2024-05-18;87.0
2024-05-19;25.0
2024-05-20;93.0
2024-05-21;68.0
2024-05-22;94.0
2024-05-23;105.0
2024-05-24;119.0
2024-05-25;106.0
2024-05-26;18.0
2024-05-27;34.0
2024-05-28;54.0
2024-05-29;64.0
2024-05-30;12.0
2024-05-31;110.0
2024-06-01;96.0
2024-06-02;13.0
2024-06-03;110.0
2024-06-04;118.0
2024-06-05;144.0
2024-06-06;120.0
2024-06-07;151.29999999999995
2024-06-08;114.0
2024-06-09;28.0
2024-06-10;125.0
2024-06-11;151.29999999999995
2024-06-12;151.29999999999995
2024-06-13;151.29999999999995
2024-06-14;132.0
2024-06-15;76.0
2024-06-16;19.0
2024-06-17;102.0
2024-06-18;91.0
2024-06-19;77.0
2024-06-20;120.0
2024-06-21;114.0
2024-06-22;81.0
2024-06-23;24.0
2024-06-24;111.0
2024-06-25;115.0
2024-06-26;49.0
2024-06-27;47.0
2024-06-28;73.0
2024-06-29;55.0
2024-06-30;6.0
2024-07-01;148.0
2024-07-02;124.0
2024-07-03;108.0
2024-07-04;81.0
2024-07-05;122.0
2024-07-06;93.0
2024-07-07;11.0
2024-07-08;102.0
2024-07-09;70.0
2024-07-10;104.0
2024-07-11;91.0
2024-07-12;83.0
2024-07-13;92.0
2024-07-14;17.0
2024-07-15;93.0
2024-07-16;149.0
2024-07-17;87.0
2024-07-18;109.0
2024-07-19;63.0
2024-07-20;99.0
2024-07-21;15.0
2024-07-22;63.0
2024-07-23;78.0
2024-07-24;53.0
2024-07-25;113.0
2024-07-26;86.0
2024-07-27;36.0
2024-07-28;17.0
2024-07-29;95.0
2024-07-30;55.0
2024-07-31;78.0
2024-08-01;91.0
2024-08-02;125.0
2024-08-03;77.0
2024-08-04;15.0
2024-08-05;69.0
2024-08-06;49.0
2024-08-07;131.0
2024-08-08;105.0
2024-08-09;103.0
2024-08-10;108.0
2024-08-11;21.0
2024-08-12;84.0
2024-08-13;79.0
2024-08-14;89.0
2024-08-15;102.0
2024-08-16;83.0
2024-08-17;44.0
2024-08-18;12.0
2024-08-19;67.0
2024-08-20;146.0
2024-08-21;45.0
2024-08-22;84.0
2024-08-23;122.0
2024-08-24;99.0
2024-08-25;25.0
2024-08-26;94.0
2024-08-27;80.0
2024-08-28;72.0
2024-08-29;99.0
2024-08-30;79.0
2024-08-31;151.29999999999995
2024-09-01;17.0
2024-09-02;57.0
2024-09-03;69.0
2024-09-04;44.0
2024-09-05;68.0
2024-09-06;119.0
2024-09-07;23.0
2024-09-08;20.0
2024-09-09;119.0
2024-09-10;86.0
2024-09-11;107.0
2024-09-12;64.0
2024-09-13;69.0
2024-09-14;77.0
2024-09-15;5.0
2024-09-16;78.0
2024-09-17;52.0
2024-09-18;72.0
2024-09-19;66.0
2024-09-20;105.0
2024-09-21;73.0
2024-09-22;19.0
2024-09-23;86.0
2024-09-24;70.0
2024-09-25;70.0
2024-09-26;57.0
2024-09-27;31.0
2024-09-28;33.0
2024-09-29;23.0
2024-09-30;82.0
2024-10-01;40.0
2024-10-02;63.0
2024-10-03;84.0
2024-10-04;112.0
2024-10-05;53.0
2024-10-06;18.0
2024-10-07;116.0
2024-10-08;68.0
2024-10-09;84.0
2024-10-10;106.0
2024-10-11;92.0
2024-10-12;32.0
2024-10-13;12.0
2024-10-14;123.0
2024-10-15;82.0
2024-10-16;74.0
2024-10-17;72.0
2024-10-18;81.0
2024-10-19;72.0
2024-10-20;23.0
2024-10-21;3.0
2024-10-22;105.0
2024-10-23;77.0
2024-10-24;89.0
2024-10-25;103.0
2024-10-26;68.0
2024-10-27;16.0
2024-10-28;64.0
2024-10-29;48.0
2024-10-30;58.0
2024-10-31;51.0
2024-11-01;81.0
2024-11-02;22.0
2024-11-03;15.0
2024-11-04;110.0
2024-11-05;57.0
2024-11-06;86.0
2024-11-07;78.0
2024-11-08;109.0
2024-11-09;51.0
2024-11-10;36.0
2024-11-11;81.0
2024-11-12;67.0
2024-11-13;73.0
2024-11-14;95.0
2024-11-15;17.0
2024-11-16;83.0
2024-11-17;32.0
2024-11-18;103.0
2024-11-19;56.0
2024-11-20;32.0
2024-11-21;129.0
2024-11-22;109.0
2024-11-23;61.0
2024-11-24;19.0
2024-11-25;127.0
2024-11-26;70.0
2024-11-27;84.0
2024-11-28;89.0
2024-11-29;150.0
2024-11-30;101.0
2024-12-01;38.0
2024-12-02;136.0
2024-12-03;91.0
2024-12-04;91.0
2024-12-05;139.0
2024-12-06;151.29999999999995
2024-12-07;140.0
2024-12-08;23.0
2024-12-09;151.29999999999995
2024-12-10;115.0
2024-12-11;151.29999999999995
2024-12-12;151.29999999999995
2024-12-13;151.29999999999995
2024-12-14;151.29999999999995
2024-12-15;43.0
2024-12-16;144.0
2024-12-17;144.0
2024-12-18;147.0
2024-12-19;151.29999999999995
2024-12-20;151.29999999999995
2024-12-21;151.29999999999995
2024-12-22;137.0
2024-12-23;151.29999999999995
2024-12-24;151.29999999999995
2024-12-25;
2024-12-26;135.0
2024-12-27;128.0
2024-12-28;78.0
2024-12-29;8.0
2024-12-30;112.0
2024-12-31;11.0
2025-01-01;
2025-01-02;61.0
2025-01-03;76.0
2025-01-04;38.0
2025-01-05;4.0
2025-01-06;62.0
2025-01-07;75.0
2025-01-08;70.0
2025-01-09;47.0
2025-01-10;83.0
2025-01-11;48.0
2025-01-12;13.0
2025-01-13;69.0
2025-01-14;61.0
2025-01-15;10.0
2025-01-16;46.0
2025-01-17;66.0
2025-01-18;25.0
2025-01-19;8.0
2025-01-20;27.0
2025-01-21;60.0
2025-01-22;60.0
2025-01-23;43.0
2025-01-24;88.0
2025-01-25;56.0
2025-01-26;6.0
2025-01-27;48.0
2025-01-28;46.0
2025-01-29;58.0
2025-01-30;62.0
2025-01-31;55.0
2025-02-01;54.0
2025-02-02;2.0
2025-02-03;65.0
2025-02-04;57.0
2025-02-05;111.0
2025-02-06;81.0
2025-02-07;68.0
2025-02-08;13.0
2025-02-09;12.0
2025-02-10;69.0
2025-02-11;70.0
2025-02-12;83.0
2025-02-13;53.0
2025-02-14;86.0
2025-02-15;34.0
2025-02-16;4.0
2025-02-17;103.0
2025-02-18;37.0
2025-02-19;34.0
2025-02-20;66.0
2025-02-21;66.0
2025-02-22;45.0
2025-02-23;9.0
2025-02-24;28.0
2025-02-25;104.0
2025-02-26;37.0
2025-02-27;69.0
2025-02-28;18.0
2025-03-01;25.0
2025-03-02;
2025-03-03;
2025-03-04;
2025-03-05;11.0
2025-03-06;41.0
2025-03-07;50.0
2025-03-08;27.0
2025-03-09;8.0
2025-03-10;80.0
2025-03-11;82.0
2025-03-12;81.0
2025-03-13;79.0
2025-03-14;88.0
2025-03-15;71.0
2025-03-16;13.0
2025-03-17;59.0
2025-03-18;64.0
2025-03-19;73.0
2025-03-20;70.0
2025-03-21;85.0
2025-03-22;50.0
2025-03-23;6.0
2025-03-24;91.0
2025-03-25;75.0
2025-03-26;79.0
2025-03-27;63.0
2025-03-28;79.0
2025-03-29;69.0
2025-03-30;18.0
2025-03-31;63.0
2025-04-01;56.0
2025-04-02;101.0
2025-04-03;78.0
2025-04-04;86.0
2025-04-05;76.0
2025-04-06;23.0
2025-04-07;86.0
2025-04-08;71.0
2025-04-09;76.0
2025-04-10;81.0
2025-04-11;95.0
2025-04-12;56.0
2025-04-13;21.0
2025-04-14;96.0
2025-04-15;61.0
2025-04-16;88.0
2025-04-17;88.0
2025-04-18;12.0
2025-04-19;72.0
2025-04-20;13.0
2025-04-21;16.0
2025-04-22;75.0
2025-04-23;13.0
2025-04-24;85.0
2025-04-25;142.0
2025-04-26;78.0
2025-04-27;11.0
2025-04-28;65.0
2025-04-29;40.0
2025-04-30;127.0
2025-05-01;
2025-05-02;101.0
2025-05-03;71.0
2025-05-04;16.0
2025-05-05;120.0
2025-05-06;79.0
2025-05-07;107.0
2025-05-08;118.0
2025-05-09;151.29999999999995
2025-05-10;151.29999999999995
2025-05-11;29.0
2025-05-12;124.0
2025-05-13;117.0
2025-05-14;117.0
2025-05-15;48.0
2025-05-16;91.0
2025-05-17;56.0
2025-05-18;17.0
2025-05-19;94.0
2025-05-20;81.0
2025-05-21;96.0
2025-05-22;89.0
2025-05-23;103.0
2025-05-24;78.0
2025-05-25;11.0
2025-05-26;43.0
2025-05-27;67.0
2025-05-28;77.0
2025-05-29;82.0
2025-05-30;85.0
2025-05-31;84.0
2025-06-01;4.0
2025-06-02;88.0
2025-06-03;100.0
2025-06-04;106.0
2025-06-05;91.0
2025-06-06;142.0
2025-06-07;91.0
2025-06-08;40.0
2025-06-09;57.0
2025-06-10;119.0
2025-06-11;151.29999999999995
2025-06-12;151.29999999999995
2025-06-13;151.29999999999995
2025-06-14;69.0
2025-06-15;17.0
2025-06-16;151.29999999999995
2025-06-17;110.0
2025-06-18;69.0
2025-06-19;15.0
2025-06-20;120.0
2025-06-21;30.0
2025-06-22;8.0
2025-06-23;113.0
2025-06-24;40.0
2025-06-25;119.0
2025-06-26;56.0
2025-06-27;84.0
2025-06-28;53.0
2025-06-29;18.0
2025-06-30;101.0
2025-07-01;54.0
2025-07-02;63.0
2025-07-03;79.0
2025-07-04;94.0
2025-07-05;61.0
2025-07-06;21.0
2025-07-07;98.0
2025-07-08;75.0
2025-07-09;55.0
2025-07-10;108.0
2025-07-11;88.0
2025-07-12;68.0
2025-07-13;17.0
2025-07-14;61.0
2025-07-15;60.0
2025-07-16;75.0
2025-07-17;89.0
2025-07-18;90.0
2025-07-19;62.0
2025-07-20;9.0
2025-07-21;63.0
2025-07-22;50.0
2025-07-23;68.0
2025-07-24;73.0
2025-07-25;78.0
2025-07-26;70.0
2025-07-27;17.0
2025-07-28;39.0
2025-07-29;73.0
2025-07-30;67.0
2025-07-31;53.0
2025-08-01;64.0
2025-08-02;62.0
2025-08-03;11.0
2025-08-04;151.29999999999995
2025-08-05;59.0
2025-08-06;21.0
2025-08-07;63.0
2025-08-08;120.0
2025-08-09;83.0
2025-08-10;15.0
2025-08-11;101.0
2025-08-12;94.0
2025-08-13;55.0
2025-08-14;72.0
2025-08-15;80.0
2025-08-16;59.0
2025-08-17;16.0
2025-08-18;23.0
2025-08-19;76.0
2025-08-20;87.0
2025-08-21;72.0
2025-08-22;87.0
2025-08-23;78.0
2025-08-24;19.0
2025-08-25;75.0
2025-08-26;46.0
2025-08-27;135.0
2025-08-28;78.0
2025-08-29;104.0
2025-08-30;81.0
2025-08-31;18.0
2025-09-01;56.0
2025-09-02;43.0
2025-09-03;47.0
2025-09-04;100.0
2025-09-05;106.0
2025-09-06;34.0
2025-09-07;9.0
2025-09-08;69.0
2025-09-09;56.0
2025-09-10;82.0
2025-09-11;35.0
2025-09-12;65.0
2025-09-13;100.0
2025-09-14;21.0
2025-09-15;74.0
2025-09-16;51.0
2025-09-17;75.0
2025-09-18;77.0
2025-09-19;63.0
2025-09-20;53.0
2025-09-21;18.0
2025-09-22;66.0
2025-09-23;51.0
2025-09-24;48.0
2025-09-25;74.0
2025-09-26;43.0
2025-09-27;47.0
2025-09-28;19.0
2025-09-29;72.0
2025-09-30;82.0
2025-10-01;45.0
2025-10-02;46.0
2025-10-03;54.0
