data;volume_historico
2025-03-24;1050.0
2025-03-25;2084.0
2025-03-26;1962.0
2025-03-27;4042.999999999998
2025-03-28;2611.0
2025-03-29;88.0
2025-03-30;
2025-03-31;2688.0
2025-04-01;59.0
2025-04-02;180.0
2025-04-03;236.0
2025-04-04;2074.0
2025-04-05;
2025-04-06;
2025-04-07;720.0
2025-04-08;902.0
2025-04-09;1494.0
2025-04-10;1275.0
2025-04-11;2269.0
2025-04-12;
2025-04-13;
2025-04-14;674.0
2025-04-15;960.0
2025-04-16;835.0
2025-04-17;1273.0
2025-04-18;
2025-04-19;
2025-04-20;
2025-04-21;
2025-04-22;839.0
2025-04-23;1409.0
2025-04-24;2019.0
2025-04-25;4042.999999999998
2025-04-26;
2025-04-27;
2025-04-28;981.0
2025-04-29;1990.0
2025-04-30;4042.999999999998
2025-05-01;
2025-05-02;774.0
2025-05-03;
2025-05-04;
2025-05-05;1793.0
2025-05-06;1264.0
2025-05-07;2127.0
2025-05-08;3114.0
2025-05-09;4042.999999999998
2025-05-10;
2025-05-11;
2025-05-12;1601.0
2025-05-13;3030.0
2025-05-14;1412.0
2025-05-15;1526.0
2025-05-16;999.0
2025-05-17;
2025-05-18;
2025-05-19;709.0
2025-05-20;1288.0
2025-05-21;3172.0
2025-05-22;1798.0
2025-05-23;2582.0
2025-05-24;
2025-05-25;
2025-05-26;4042.999999999998
2025-05-27;1712.0
2025-05-28;3699.0
2025-05-29;4042.999999999998
2025-05-30;4042.999999999998
2025-05-31;2813.0
2025-06-01;
2025-06-02;3101.0
2025-06-03;4042.999999999998
2025-06-04;1027.0
2025-06-05;4042.999999999998
2025-06-06;4042.999999999998
2025-06-07;
2025-06-08;
2025-06-09;565.0
2025-06-10;624.0
2025-06-11;656.0
2025-06-12;242.0
2025-06-13;381.0
2025-06-14;
2025-06-15;
2025-06-16;246.0
2025-06-17;330.0
2025-06-18;129.0
2025-06-19;
2025-06-20;
2025-06-21;
2025-06-22;
2025-06-23;190.0
2025-06-24;455.0
2025-06-25;727.0
2025-06-26;352.0
2025-06-27;853.0
2025-06-28;
2025-06-29;
2025-06-30;4042.999999999998
2025-07-01;
2025-07-02;493.0
2025-07-03;238.0
2025-07-04;809.0
2025-07-05;
2025-07-06;
2025-07-07;51.0
2025-07-08;991.0
2025-07-09;
2025-07-10;407.0
2025-07-11;1660.0
2025-07-12;
2025-07-13;
2025-07-14;1468.0
2025-07-15;968.0
2025-07-16;398.0
2025-07-17;2153.0
2025-07-18;1895.0
2025-07-19;
2025-07-20;
2025-07-21;2272.0
2025-07-22;1480.0
2025-07-23;428.0
2025-07-24;806.0
2025-07-25;2527.0
2025-07-26;
2025-07-27;
2025-07-28;175.0
2025-07-29;1960.0
2025-07-30;1435.0
2025-07-31;2367.0
2025-08-01;388.0
2025-08-02;
2025-08-03;
2025-08-04;193.0
2025-08-05;668.0
2025-08-06;778.0
2025-08-07;774.0
2025-08-08;896.0
2025-08-09;
2025-08-10;
2025-08-11;111.0
2025-08-12;955.0
2025-08-13;3514.0
2025-08-14;823.0
2025-08-15;2004.0
2025-08-16;
2025-08-17;
2025-08-18;239.0
2025-08-19;923.0
2025-08-20;719.0
2025-08-21;745.0
2025-08-22;3080.0
2025-08-23;
2025-08-24;
2025-08-25;630.0
2025-08-26;969.0
2025-08-27;844.0
2025-08-28;1456.0
2025-08-29;3838.0
2025-08-30;
2025-08-31;
2025-09-01;487.0
2025-09-02;826.0
2025-09-03;389.0
2025-09-04;1189.0
2025-09-05;767.0
2025-09-06;
2025-09-07;
2025-09-08;820.0
2025-09-09;956.0
2025-09-10;944.0
2025-09-11;1058.0
2025-09-12;2902.0
2025-09-13;
2025-09-14;
2025-09-15;837.0
2025-09-16;525.0
2025-09-17;897.0
2025-09-18;933.0
2025-09-19;1467.0
2025-09-20;
2025-09-21;
2025-09-22;1547.0
2025-09-23;653.0
2025-09-24;421.0
2025-09-25;1840.0
2025-09-26;1646.0
2025-09-27;14.0
