data;vendas;tipo;forecast_horizon;vendas_acumuladas
2025-10-13;84508.78993802486;previsao;90;8576369.811660636
2025-10-14;69049.52752944294;previsao;30;8645419.339190079
2025-10-14;69049.52752944294;previsao;60;8645419.339190079
2025-10-14;69049.52752944294;previsao;90;8645419.339190079
2025-10-15;68906.91701432213;previsao;30;8714326.2562044
2025-10-15;68906.91701432213;previsao;60;8714326.2562044
2025-10-15;68906.91701432213;previsao;90;8714326.2562044
2025-10-16;63651.141753184806;previsao;60;8777977.397957586
2025-10-16;63651.141753184806;previsao;90;8777977.397957586
2025-10-16;63651.141753184806;previsao;30;8777977.397957586
2025-10-17;79573.71902477885;previsao;30;8857551.116982365
2025-10-17;79573.71902477885;previsao;60;8857551.116982365
2025-10-17;79573.71902477885;previsao;90;8857551.116982365
2025-10-18;61736.854044135616;previsao;30;8919287.9710265
2025-10-18;61736.854044135616;previsao;90;8919287.9710265
2025-10-18;61736.854044135616;previsao;60;8919287.9710265
2025-10-19;10074.164747679628;previsao;60;8929362.13577418
2025-10-19;10074.164747679628;previsao;90;8929362.13577418
2025-10-19;10074.164747679628;previsao;30;8929362.13577418
2025-10-20;67170.38870890015;previsao;90;8996532.524483081
2025-10-20;67170.38870890015;previsao;30;8996532.524483081
2025-10-20;67170.38870890015;previsao;60;8996532.524483081
2025-10-21;65604.5286179373;previsao;90;9062137.053101018
2025-10-21;65604.5286179373;previsao;60;9062137.053101018
2025-10-21;65604.5286179373;previsao;30;9062137.053101018
2025-10-22;58867.80046449047;previsao;90;9121004.853565508
2025-10-22;58867.80046449047;previsao;60;9121004.853565508
2025-10-22;58867.80046449047;previsao;30;9121004.853565508
2025-10-23;66371.72549902291;previsao;60;9187376.579064531
2025-10-23;66371.72549902291;previsao;30;9187376.579064531
2025-10-23;66371.72549902291;previsao;90;9187376.579064531
2025-10-24;82189.37490515469;previsao;30;9269565.953969685
2025-10-24;82189.37490515469;previsao;60;9269565.953969685
2025-10-24;82189.37490515469;previsao;90;9269565.953969685
2025-10-25;59495.18211162246;previsao;60;9329061.136081308
2025-10-25;59495.18211162246;previsao;90;9329061.136081308
2025-10-25;59495.18211162246;previsao;30;9329061.136081308
2025-10-26;11512.847442646873;previsao;30;9340573.983523956
2025-10-26;11512.847442646873;previsao;90;9340573.983523956
2025-10-26;11512.847442646873;previsao;60;9340573.983523956
2025-10-27;73771.34442062215;previsao;90;9414345.327944579
2025-10-27;73771.34442062215;previsao;60;9414345.327944579
2025-10-27;73771.34442062215;previsao;30;9414345.327944579
2025-10-28;68922.83888324197;previsao;90;9483268.16682782
2025-10-28;68922.83888324197;previsao;60;9483268.16682782
2025-10-29;62443.66661758156;previsao;90;9545711.833445402
2025-10-29;62443.66661758156;previsao;60;9545711.833445402
2025-10-30;78072.37483270706;previsao;60;9623784.208278108
2025-10-30;78072.37483270706;previsao;90;9623784.208278108
2025-10-31;86313.86238696291;previsao;60;9710098.07066507
2025-10-31;86313.86238696291;previsao;90;9710098.07066507
2025-11-01;63382.40841396486;previsao;90;9773480.479079036
2025-11-01;63382.40841396486;previsao;60;9773480.479079036
2025-11-02;9971.334565938836;previsao;90;9783451.813644975
2025-11-02;9971.334565938836;previsao;60;9783451.813644975
2025-11-03;64857.27650365417;previsao;90;9848309.09014863
2025-11-03;64857.27650365417;previsao;60;9848309.09014863
2025-11-04;64112.773310271245;previsao;90;9912421.863458902
2025-11-04;64112.773310271245;previsao;60;9912421.863458902
2025-11-05;61344.26727281608;previsao;60;9973766.130731719
2025-11-05;61344.26727281608;previsao;90;9973766.130731719
2025-11-06;73465.45481533259;previsao;90;10047231.58554705
2025-11-06;73465.45481533259;previsao;60;10047231.58554705
2025-11-07;81032.05996146856;previsao;60;10128263.645508518
2025-11-07;81032.05996146856;previsao;90;10128263.645508518
2025-11-08;70495.79415583833;previsao;60;10198759.439664356
2025-11-08;70495.79415583833;previsao;90;10198759.439664356
2025-11-09;11691.179201568124;previsao;90;10210450.618865924
2025-11-09;11691.179201568124;previsao;60;10210450.618865924
2025-11-10;79040.58399668414;previsao;60;10289491.202862607
2025-11-10;79040.58399668414;previsao;90;10289491.202862607
