data;vendas
2025-03-07;22305.0
2025-03-08;28308.1
2025-03-09;320369.0
2025-03-10;101418.85
2025-03-11;139406.0
2025-03-12;1310883.0
2025-03-13;33215.0
2025-03-14;1985.0
2025-03-17;202676.0
2025-03-18;32760.0
2025-03-20;60.0
2025-03-21;35306.7
2025-03-22;22506.0
2025-03-25;87960.0
2025-03-26;51477.2
2025-03-27;84402.0
2025-03-28;74817.0
2025-03-29;320.0
2025-03-31;97311.0
2025-04-01;178314.5
2025-04-02;41240.0
2025-04-03;38772.0
2025-04-04;6453.0
2025-04-05;366615.0
2025-04-07;819058.87
2025-04-08;53067.0
2025-04-09;104599.4
2025-04-10;43743.0
2025-04-11;671870.0
2025-04-12;494520.0
2025-04-13;3445.0
2025-04-14;6565.0
2025-04-15;34110.0
2025-04-16;901639.0
2025-04-17;22969.0
2025-04-18;1804.05
2025-04-22;201304.0
2025-04-23;130.0
2025-04-25;13794.52
2025-04-26;72260.0
2025-04-27;7740.0
2025-04-28;1001471.0
2025-04-29;115056.0
2025-04-30;150740.0
2025-05-02;96915.0
2025-05-04;3295.0
2025-05-05;188850.2
2025-05-06;31457.55
2025-05-07;838375.95
2025-05-08;151422.0
2025-05-09;789019.2
2025-05-10;512185.95
2025-05-11;20336.45
2025-05-12;335262.54
2025-05-13;1464.0
2025-05-14;9560860.3
2025-05-15;489800.0
2025-05-16;16239.0
2025-05-17;62190.4
2025-05-18;39478.5
2025-05-19;85760.0
2025-05-20;4496.0
2025-05-21;37590.0
2025-05-22;249037.0
2025-05-23;77860.0
2025-05-24;209130.5
2025-05-25;28652.0
2025-05-26;150000.0
2025-05-27;6375527.1
2025-05-28;316325.0
2025-05-29;54896.0
2025-05-30;8912.7
2025-05-31;124592.2
2025-06-01;206108.0
2025-06-02;90906.0
2025-06-03;35390.0
2025-06-04;107685.0
2025-06-05;66598.5
2025-06-06;231937.0
2025-06-07;251784.1
2025-06-08;43163.0
2025-06-09;278634.0
2025-06-10;6656.55
2025-06-11;46304.5
2025-06-12;216311.5
2025-06-13;-46302.0
2025-06-14;152019.45
2025-06-15;91342.0
2025-06-16;60.0
2025-06-17;282007.0
2025-06-18;10870.0
2025-06-19;17730.0
2025-06-20;408409.0
2025-06-21;6800.0
2025-06-22;4428.0
2025-06-24;34693.0
2025-06-25;5510.0
2025-06-26;45218.55
2025-06-27;391653.0
2025-06-28;214813.0
2025-06-29;-47175.0
2025-06-30;239139.45
2025-07-01;9940.0
2025-07-02;9145.0
2025-07-03;18929.04
2025-07-04;25195.0
2025-07-05;8112.0
2025-07-06;8090.0
2025-07-07;5800.0
2025-07-08;4180.2
2025-07-09;18383.0
2025-07-10;80530.45
2025-07-11;339016.0
2025-07-12;299140.0
2025-07-13;2860.0
2025-07-14;104427.35
2025-07-15;32191.29
2025-07-16;83696.0
2025-07-17;32215.0
2025-07-18;280350.3
2025-07-19;16281.0
2025-07-21;12472.0
2025-07-22;118394.5
2025-07-23;48757.6
2025-07-24;2763.0
2025-07-25;5150.0
2025-07-26;6160.0
2025-07-27;5386.5
2025-07-28;78573.5
2025-07-29;221312.0
2025-07-30;890.0
2025-07-31;287118.0
2025-08-01;32288.37
2025-08-02;20252.0
2025-08-03;24301.5
2025-08-04;24327.2
2025-08-06;9415.0
2025-08-07;55303.0
2025-08-08;61869.6
2025-08-09;30248.4
2025-08-10;32015.0
2025-08-11;21940.0
2025-08-12;23305.0
2025-08-13;40550.85
2025-08-14;846559.5
2025-08-15;93061.9
2025-08-16;133532.0
2025-08-17;9799.0
2025-08-18;26640.0
2025-08-19;85106.76
2025-08-20;16460.0
2025-08-24;2596.5
2025-08-25;249910.0
2025-08-26;70765.5
2025-08-27;258754.2
2025-08-28;81152.27
2025-08-29;142921.84
2025-08-30;134414.3
2025-08-31;2802.5
2025-09-01;1697.0
2025-09-02;3307.0
2025-09-03;80.0
2025-09-04;257365.5
2025-09-05;7415.51
2025-09-06;39704.2
2025-09-07;3036.0
2025-09-08;11909.0
2025-09-09;3000.0
2025-09-10;518010.0
2025-09-11;19220.0
2025-09-12;482763.0
2025-09-13;114710.0
2025-09-14;27005.5
2025-09-15;11499.74
2025-09-16;10207.0
2025-09-17;92095.0
2025-09-18;10495.0
2025-09-19;39405.0
2025-09-20;222848.0
2025-09-21;10438.0
2025-09-22;18553.0
2025-09-23;77171.9
2025-09-24;17694.0
2025-09-25;7259.0
2025-09-26;276865.0
2025-09-27;169166.25
2025-09-28;25824.5
2025-09-29;17586.92
2025-09-30;108142.0
2025-10-01;20150.0
2025-10-03;23330.0
2025-10-04;11500.0
2025-10-05;5739.45
2025-10-06;126465.0
2025-10-07;4190.0
