data;vendas;tipo;forecast_horizon;vendas_acumuladas
2025-10-30;26646.99087763985;previsao;30;1492432.906146017
2025-10-31;31039.490725040367;previsao;90;1523472.3968710573
2025-10-31;31039.490725040367;previsao;60;1523472.3968710573
2025-10-31;31039.490725040367;previsao;30;1523472.3968710573
2025-11-01;29468.7917526687;previsao;60;1552941.1886237261
2025-11-01;29468.7917526687;previsao;30;1552941.1886237261
2025-11-01;29468.7917526687;previsao;90;1552941.1886237261
2025-11-02;11319.597143628816;previsao;30;1564260.785767355
2025-11-02;11319.597143628816;previsao;60;1564260.785767355
2025-11-02;11319.597143628816;previsao;90;1564260.785767355
2025-11-03;47283.29419589822;previsao;60;1611544.079963253
2025-11-03;47283.29419589822;previsao;90;1611544.079963253
2025-11-03;47283.29419589822;previsao;30;1611544.079963253
2025-11-04;24441.14723832894;previsao;30;1635985.2272015822
2025-11-04;24441.14723832894;previsao;90;1635985.2272015822
2025-11-04;24441.14723832894;previsao;60;1635985.2272015822
2025-11-05;29170.03343931531;previsao;90;1665155.2606408976
2025-11-05;29170.03343931531;previsao;60;1665155.2606408976
2025-11-05;29170.03343931531;previsao;30;1665155.2606408976
2025-11-06;27258.30193919513;previsao;90;1692413.5625800926
2025-11-06;27258.30193919513;previsao;60;1692413.5625800926
2025-11-07;31649.74575471881;previsao;90;1724063.3083348114
2025-11-07;31649.74575471881;previsao;60;1724063.3083348114
2025-11-08;29739.770001665576;previsao;60;1753803.078336477
2025-11-08;29739.770001665576;previsao;90;1753803.078336477
2025-11-09;16863.34385993196;previsao;60;1770666.422196409
2025-11-09;16863.34385993196;previsao;90;1770666.422196409
2025-11-10;52285.54947417832;previsao;90;1822951.9716705873
2025-11-10;52285.54947417832;previsao;60;1822951.9716705873
2025-11-11;30048.035311980577;previsao;90;1853000.006982568
2025-11-11;30048.035311980577;previsao;60;1853000.006982568
2025-11-12;35962.56762782708;previsao;90;1888962.5746103951
2025-11-12;35962.56762782708;previsao;60;1888962.5746103951
2025-11-13;32507.682547670964;previsao;90;1921470.2571580661
2025-11-13;32507.682547670964;previsao;60;1921470.2571580661
2025-11-14;37339.35997688219;previsao;60;1958809.6171349483
2025-11-14;37339.35997688219;previsao;90;1958809.6171349483
2025-11-15;32614.83037543766;previsao;90;1991424.447510386
2025-11-15;32614.83037543766;previsao;60;1991424.447510386
2025-11-16;16287.485998432872;previsao;60;2007711.9335088187
2025-11-16;16287.485998432872;previsao;90;2007711.9335088187
2025-11-17;44249.34809274743;previsao;60;2051961.2816015661
2025-11-17;44249.34809274743;previsao;90;2051961.2816015661
2025-11-18;31048.50181127432;previsao;90;2083009.7834128405
2025-11-18;31048.50181127432;previsao;60;2083009.7834128405
2025-11-19;29575.94134069356;previsao;60;2112585.724753534
2025-11-19;29575.94134069356;previsao;90;2112585.724753534
2025-11-20;35459.51452165466;previsao;90;2148045.2392751887
2025-11-20;35459.51452165466;previsao;60;2148045.2392751887
2025-11-21;41065.889798197815;previsao;60;2189111.1290733865
